"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_AdjustmentsForDepreciationExpense,감가상각비에 대한 조정,Adjustments for depreciation expense,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,감가상각비에 대한 조정,221194977813.0,215366144514.0,231972857207.0,226345206488.0,235420296925.0,249150266798.0,241237957494.0,232067082272.0,208222216534.0,176627986056.0,150912415297.0,133811879708.0,132072906451.0,111767154551.0,103947191143.0
ifrs-full_AdjustmentsForAmortisationExpense,무형자산상각비에 대한 조정,Adjustments for amortisation expense,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산상각비에 대한 조정,1802953682.0,1850608270.0,1744392209.0,1729018273.0,1804963073.0,1802812476.0,1196922033.0,1053957656.0,1087978157.0,963770105.0,796440448.0,906192699.0,304882631.0,260283073.0,157818270.0
dart_AdjustmentsForDepreciationRightofuseAssets,사용권자산감가상각비 조정,"Adjustments for depreciation, right-of-use assets",현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,사용권자산감가상각비 조정,6808131827.0,5324322467.0,4634637253.0,2956135426.0,2443233154.0,1836276706.0,0.0,,,,,,,,
dart_AdjustmentsForMiscellaneousLosses,잡손실 조정,Adjustments for miscellaneous losses,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,잡손실 조정,1270192459.0,3799919188.0,-10069554.0,-267570.0,8661054064.0,38738277.0,1881717874.0,1285333744.0,,-633.0,21841042.0,213137009.0,-10325148.0,,0.0
dart_LossesFromFinancialGuaranteeFinanceExpense,금융보증비용(손실),Losses from financial guarantee finance expense,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,금융보증비용(손실),-34891708.0,-21333555.0,-77614396.0,-9980481.0,137584318.0,0.0,,24368573.0,111793888.0,-736818983.0,-73795911.0,-160349279.0,16706041.0,973206796.0,0.0
ifrs-full_AdjustmentsForGainLossOnDisposalOfInvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 공동기업, 및 관계기업에 대한 투자지분의 처분이익(손실)에 대한 조정","Adjustments for gain (loss) on disposal of investments in subsidiaries, joint ventures and associates",현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,"종속기업, 공동기업, 및 관계기업에 대한 투자지분의 처분이익(손실)에 대한 조정",,-897129660.0,,,,,,,,,,,,,
dart_AdjustmentsForProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익,Adjustments for profits of associates and joint ventures accounted for using equity method,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,지분법이익,-6802648987.0,715359227.0,1407908936.0,1947107216.0,3353640586.0,6274988840.0,-2825976690.0,1957073994.0,6768150126.0,8831832471.0,-10933868015.0,6170830946.0,-2735020179.0,150558883.0,-17105883284.0
dart_AdjustmentsForLossesOnDisposalsofInvestmentsInAssociates,종속기업/관계기업/공동기업투자처분손실,Adjustments for losses on disposals of investments in associates,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,종속기업/관계기업/공동기업투자처분손실,37376515.0,-5698760300.0,-178585725.0,,25939354.0,-5972584399.0,1059038163.0,,,3779008384.0,-16774130516.0,,,,
dart_AdjustmentsForImpairmentLossesOfPropertyPlantAndEquipment,유형자산손상차손 조정,Adjustments for impairment losses of property plant and equipment,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,유형자산손상차손 조정,12150506624.0,2093949995.0,17960653503.0,14932205017.0,0.0,2115455.0,85354732000.0,,5008973037.0,,,,,,
dart_AdjustmentsForGainsLossesOnDisposalsOfNoncurrentAssetsHeldForSale,매각예정비유동관련처분손익,Adjustments for gains (losses) on disposals of non-current assets held for sale,현금흐름표 [개요],영업활동현금흐름,당기순이익조정을 위한 가감,매각예정비유동관련처분손익,-429930584.0,,,,,,,,,,,,,,
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산 부채의 변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [개요],영업활동현금흐름,영업활동으로 인한 자산 부채의 변동,,-18137655744.0,-81477519500.0,-150653966215.0,-61354671246.0,88910096197.0,52764667298.0,-44036937098.0,77291900144.0,17554291256.0,-12189317316.0,,,,,
