"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_GainsOnSaleOfInvestmentsInSubsidiaries,종속기업투자주식처분이익,Gains on sale of investments in subsidiaries,ifrs-full:StatementOfComprehensiveIncomeAbstract,종속기업투자주식처분이익,,,0.0,897129660.0,0.0,0.0,,,,,,,,,,,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,191839627825.0,218685622094.0,69497411426.0,67749210685.0,-38828416267.0,55018083952.0,28389492343.0,62919181878.0,88139410059.0,81736782249.0,173983327484.0,204541757701.0,208335232114.0,140802688868.0,200515771729.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,57206163623.0,42712706954.0,27151973793.0,27002640688.0,-24050696563.0,-25516570428.0,-9843478154.0,-33637226352.0,-49247042414.0,-41955422640.0,-43457222460.0,-51138714825.0,-47420659486.0,-65305550025.0,-41220852559.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),Profit (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업이익(손실),,,134633464202.0,175972915140.0,42345437633.0,40746569997.0,,,,,,,,,,,
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),Profit (loss) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단영업이익(손실),,,428448396.0,-267644236.0,-3833945928.0,-1710289312.0,,,,,,,,,,,
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,135061912598.0,175705270904.0,38511491705.0,39036280685.0,-62879112830.0,29501513524.0,18546014189.0,29281955526.0,38892367645.0,39781359609.0,130526105024.0,153403042876.0,160914572628.0,75497138843.0,159294919170.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,74159415430.0,2711762058.0,22995871990.0,54735914497.0,416724163.0,10026400180.0,-16221995796.0,-25483208479.0,-3172976713.0,-8656573465.0,-9867109036.0,-33276591529.0,-19419497609.0,20191412388.0,-763404108.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,92936960664.0,13316538201.0,13508636034.0,55303086515.0,-9913774516.0,18353613566.0,-3166393869.0,-30504893253.0,-3793828616.0,-8140555208.0,-4951488678.0,-34918641879.0,-16520087882.0,18590058877.0,
ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),3664001200.0,-13249148.0,2304448207.0,1732863276.0,-336567933.0,1697875925.0,-659282394.0,-4428422430.0,-2265213758.0,1212840075.0,7159162189.0,-4172685005.0,-4474563907.0,-2305851316.0,229407899.0
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환차이(세후기타포괄손익),"Gains (losses) on exchange differences on translation of foreign operations, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),해외사업장환산외환차이(세후기타포괄손익),89272959464.0,13329787349.0,11204187827.0,53570223239.0,-9577206583.0,16655737641.0,-2507111475.0,-24906848126.0,-8096286469.0,376060610.0,,,,,-4194615926.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,-18777545234.0,-10604776143.0,9487235956.0,-567172018.0,10330498679.0,-8327213386.0,-13055601927.0,5021684774.0,620851903.0,-516018257.0,-4915620358.0,1642050350.0,-2899409727.0,1601353511.0,
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의 재측정손익(세후기타포괄손익),"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),확정급여제도의 재측정손익(세후기타포괄손익),-9938476655.0,-15106335625.0,16435440894.0,4062207186.0,-373501663.0,-3785814572.0,-4315798298.0,5021684774.0,620851903.0,-502396889.0,-4799828310.0,3209368485.0,-2902076711.0,1544047504.0,
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,"세후기타포괄손익, 지분상품에 대한 투자자산","Other comprehensive income, net of tax, gains (losses) from investments in equity instruments",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"세후기타포괄손익, 지분상품에 대한 투자자산",-8839068579.0,4501559482.0,-6948204938.0,-4676651288.0,10704000342.0,-4611968600.0,-8725742875.0,,,,,,,,
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,209221328028.0,178417032962.0,61507363695.0,93772195182.0,-62462388667.0,39527913704.0,2324018393.0,3798747047.0,35719390932.0,31124786144.0,120658995988.0,120126451347.0,141495075019.0,95688551231.0,158531515062.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),,,,,44932045061.0,-52062570398.0,39317319368.0,24293536945.0,32068089543.0,41204802857.0,35294643201.0,110008903404.0,130651239386.0,133856849511.0,51091930429.0,127517564395.0
ifrs-full_IncomeFromContinuingOperationsAttributableToOwnersOfParent,지배기업의 소유주에게 귀속될 계속영업손익,Income from continuing operations attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),지배기업의 소유주에게 귀속될 계속영업손익,139630890260.0,170201448416.0,42768206736.0,46642334373.0,,,,,,,,,,,
ifrs-full_IncomeFromDiscontinuedOperationsAttributableToOwnersOfParent,지배기업의 소유주에게 귀속될 중단영업손익,Income from discontinued operations attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),지배기업의 소유주에게 귀속될 중단영업손익,428448396.0,-267644236.0,-3833945928.0,-1710289312.0,,,,,,,,,,,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),,,,,-5895764376.0,-10816542432.0,-9815805844.0,-5747522756.0,-2786134017.0,-2312435212.0,4486716408.0,20517201620.0,22751803490.0,27057723117.0,24405208414.0,31777354775.0
ifrs-full_ProfitLossFromContinuingOperationsAttributableToNoncontrollingInterests,비지배지분에 귀속될 계속영업이익(손실),Profit (loss) from continuing operations attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),비지배지분에 귀속될 계속영업이익(손실),-4997426058.0,5771466724.0,-422769103.0,-5895764376.0,-10816542432.0,-9815805844.0,-5747522756.0,,,,,,,,
ifrs-full_ProfitLossFromDiscontinuedOperationsAttributableToNoncontrollingInterests,비지배지분에 귀속될 중단영업이익(손실),Profit (loss) from discontinued operations attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),비지배지분에 귀속될 중단영업이익(손실),0.0,0.0,0.0,,,,,,,,,,,,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"포괄손익, 지배기업의 소유주에게 귀속되는 지분",,196520571541.0,170053796131.0,58296514510.0,86424924222.0,-50281399224.0,46460336058.0,8447154537.0,11956025258.0,39652950222.0,25274460547.0,103396450704.0,96384560882.0,119492080880.0,71716613465.0,128856858173.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"포괄손익, 비지배지분",,12700756487.0,8363236831.0,3210849185.0,7347270960.0,-12180989443.0,-6932422354.0,-6123136144.0,-8157278211.0,-3933559290.0,5850325597.0,17262545284.0,23741890465.0,22002994139.0,23971937766.0,29674656889.0
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,계속영업기본주당이익(손실),Basic earnings (loss) per share from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],계속영업기본주당이익(손실),,1746.0,2128.0,535.0,583.0,,,,,,,,,,,
ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,중단영업기본주당이익(손실),Basic earnings (loss) per share from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],중단영업기본주당이익(손실),,5.0,-3.0,-48.0,-21.0,,,,,,,,,,,
