"[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)","[D310000] 손익계산서, 기능별 분류 - 연결 | Income statement, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분,"Profit (loss), attributable to owners of parent",ifrs-full:IncomeStatementAbstract,연결당기순이익의 귀속 [개요],지배기업소유주지분,12526691000000.0,11961717000000.0,7364364000000.0,4942356000000.0,1424436000000.0,2980049000000.0,1508084000000.0,4032824000000.0,5406435000000.0,6417303000000.0,7346807000000.0,8541834000000.0,8566568000000.0,7671713000000.0,5567132000000.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분,"Profit (loss), attributable to non-controlling interests",ifrs-full:IncomeStatementAbstract,연결당기순이익의 귀속 [개요],비지배지분,703217000000.0,310584000000.0,619250000000.0,750721000000.0,500117000000.0,205597000000.0,136935000000.0,513576000000.0,313218000000.0,91862000000.0,302661000000.0,451663000000.0,494564000000.0,448585000000.0,434050000000.0
ifrs-full_BasicEarningsLossPerShare,보통주기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:IncomeStatementAbstract,지배기업 소유지분에 대한 주당이익 [개요],보통주기본주당이익(손실),47615.0,45703.0,28521.0,18979.0,5454.0,11310.0,5632.0,14993.0,20118.0,23861.0,27037.0,31441.0,31532.0,28259.0,20516.0
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,계속영업 보통주기본주당이익,Basic earnings (loss) per share from continuing operations,ifrs-full:IncomeStatementAbstract,지배기업 소유지분에 대한 주당이익 [개요],계속영업 보통주기본주당이익,48829.0,47622.0,29105.0,,,,,,,,,,,,
ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,중단영업 보통주기본주당손실,Basic earnings (loss) per share from discontinued operations,ifrs-full:IncomeStatementAbstract,지배기업 소유지분에 대한 주당이익 [개요],중단영업 보통주기본주당손실,-1214.0,-1919.0,-584.0,,,,,,,,,,,,
dart_BasicEarningsLossPerSharePreferredStock,1우선주기본주당이익(손실),Basic earnings (loss) per share - preferred stock,ifrs-full:IncomeStatementAbstract,지배기업 소유지분에 대한 주당이익 [개요],1우선주기본주당이익(손실),47369.0,45535.0,28207.0,19002.0,5502.0,11355.0,5681.0,15043.0,20156.0,23909.0,27122.0,31491.0,,,
dart_BasicEarningsLossPerSharePreferredStockFromContinuingOperations,계속영업 1우선주기본주당이익,Basic earnings (loss) per share - preferred stock from continuing operations,ifrs-full:IncomeStatementAbstract,지배기업 소유지분에 대한 주당이익 [개요],계속영업 1우선주기본주당이익,48575.0,47445.0,28783.0,,,,,,,,,,,,
dart_BasicEarningsLossPerSharePreferredStockFromDiscontinuedOperations,중단영업 1우선주기본주당손실,Basic earnings (loss) per share - preferred stock from discontinued operations,ifrs-full:IncomeStatementAbstract,지배기업 소유지분에 대한 주당이익 [개요],중단영업 1우선주기본주당손실,-1206.0,-1910.0,-576.0,,,,,,,,,,,,
ifrs-full_DilutedEarningsLossPerShare,보통주 희석주당이익,Diluted earnings (loss) per share,ifrs-full:IncomeStatementAbstract,지배기업 소유지분에 대한 주당이익 [개요],보통주 희석주당이익,47615.0,45703.0,28521.0,18979.0,5454.0,11310.0,5632.0,14993.0,20118.0,23861.0,27037.0,31441.0,31532.0,28259.0,
dart_DilutedEarningsLossPerSharePreferredStock,1우선주 희석주당이익,Diluted earnings (loss) per share - preferred stock,ifrs-full:IncomeStatementAbstract,지배기업 소유지분에 대한 주당이익 [개요],1우선주 희석주당이익,47369.0,45535.0,28207.0,19002.0,5502.0,11355.0,5681.0,15043.0,20156.0,23909.0,27122.0,31491.0,,,
