"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231,20181231,20171231,20161231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Assets,자산총계,Total assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],자산총계,,207583315092.0,196247741936.0,218227192633.0,163088543851.0,155456139653.0,160150689574.0,153900400937.0,140532477123.0,46393562606.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,,12039829928.0,7097592195.0,23843663613.0,10801878622.0,12053440686.0,11689538839.0,12000644794.0,19330852496.0,10675892239.0
dart_ShortTermTradePayables,매입채무,Short-term trade Payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,매입채무,2485994504.0,1371314607.0,1100726288.0,2926794083.0,3195769052.0,2183068175.0,1635230411.0,2929202148.0,1995567273.0
ifrs-full_TradeAndOtherCurrentPayables,기타채무,Trade and other current payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,기타채무,5709043452.0,3789133370.0,8774204740.0,5653340309.0,4599139640.0,6591438290.0,5830874303.0,5633469266.0,1914353176.0
ifrs-full_Borrowings,차입부채,Borrowings,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,차입부채,,,500000000.0,,1044374998.0,500000000.0,0.0,0.0,5000000000.0
ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of non-current borrowings,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,유동성장기차입금,56000000.0,56000000.0,56000000.0,56000000.0,,,500000000.0,0.0,982000000.0
ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,유동리스부채,759987263.0,840916838.0,390027848.0,448598095.0,971917997.0,652602194.0,0.0,0.0,
ifrs-full_OtherCurrentLiabilities,기타유동부채,Other current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,기타유동부채,844767749.0,601426841.0,1286944729.0,1168579486.0,936109177.0,1054376750.0,994232462.0,1986542539.0,273844585.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,당기법인세부채,2184036960.0,438800539.0,11735760008.0,548566649.0,1306129822.0,708053430.0,3040307618.0,8781638543.0,510127205.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,,3062031619.0,2986272563.0,2180328144.0,4029551665.0,5282590493.0,4589039844.0,2925157644.0,3581997713.0,11949961347.0
dart_LongTermBorrowingsGross,"장기차입금(사채 포함), 총액","Long-term borrowings, gross",ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,"장기차입금(사채 포함), 총액",,56000000.0,112000000.0,168000000.0,580000000.0,,0.0,500000000.0,8454360000.0
ifrs-full_NoncurrentLeaseLiabilities,비유동리스부채,Non-current lease liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,비유동리스부채,423837568.0,851097967.0,467543506.0,449047540.0,394048221.0,306537431.0,0.0,0.0,
dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,순확정급여부채,1323783020.0,1626567312.0,641819184.0,2690541401.0,3599784674.0,3791773242.0,2621411035.0,2809055543.0,3188224621.0
dart_LongTermTradeAndOtherNonCurrentPayables,장기기타채무,Long-term trade and other non-current payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기기타채무,513388544.0,452607284.0,365236392.0,698016451.0,684811325.0,490707604.0,303746609.0,272942170.0,307376726.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,이연법인세부채,801022487.0,,593729062.0,23946273.0,23946273.0,21567.0,0.0,0.0,
ifrs-full_Liabilities,부채총계,Total liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],부채총계,,15101861547.0,10083864758.0,26023991757.0,14831430287.0,17336031179.0,16278578683.0,14925802438.0,22912850209.0,22625853586.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,Equity attributable to owners of parent,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,,191686832563.0,185434507918.0,191738463605.0,148050613283.0,137934846254.0,141278310485.0,138168722732.0,117619626914.0,23767709020.0
ifrs-full_IssuedCapital,자본금,Issued capital,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,자본금,5096320000.0,5096320000.0,5096320000.0,5096320000.0,5051120000.0,5050570000.0,4995570000.0,4965570000.0,3917320000.0
dart_CapitalSurplus,자본잉여금,Capital surplus,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,자본잉여금,72220485852.0,71930177452.0,71831327081.0,71684095081.0,69036493952.0,68997992972.0,68131329336.0,67966184756.0,4747911286.0
dart_ElementsOfOtherStockholdersEquity,기타자본항목,Elements of other stockholder's equity,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,기타자본항목,-911528258.0,-1187107889.0,-2186922921.0,-2932144029.0,-1276690913.0,-488263198.0,-1278341366.0,517939162.0,384310309.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,기타포괄손익누계액,298187750.0,-823756.0,-3624002.0,6163916.0,568597.0,3853609.0,-6999653.0,0.0,0.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],지배기업 소유주지분,이익잉여금,114983367219.0,109595942111.0,117001363447.0,74196178315.0,65123354618.0,67714157102.0,66327164415.0,44169932996.0,14718167425.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],비지배지분,,794620982.0,729369260.0,464737271.0,206500281.0,185262220.0,2593800406.0,805875767.0,0.0,0.0
ifrs-full_Equity,자본총계,Total equity,ifrs-full:StatementOfFinancialPositionAbstract,자본 [개요],자본총계,,192481453545.0,186163877178.0,192203200876.0,148257113564.0,138120108474.0,143872110891.0,138974598499.0,117619626914.0,23767709020.0
ifrs-full_EquityAndLiabilities,부채및자본총계,Total equity and liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채및자본총계,,,207583315092.0,196247741936.0,218227192633.0,163088543851.0,155456139653.0,160150689574.0,153900400937.0,140532477123.0,46393562606.0
