"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231,20181231,20171231,20161231,20151231,20141231,20131231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [개요],자산 [개요],비유동자산,사용권자산,7950565743.0,13307854894.0,16778333029.0,15484949699.0,1336275902.0,1329440862.0,,,,,,
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [개요],자산 [개요],비유동자산,이연법인세자산,4513651873.0,,,523894641.0,3372545588.0,,,,,328792569.0,92477088.0,
dart_InvestedAssetForPostemploymentBenefit,퇴직연금운용자산투자,Invested asset for postemployment benefit,재무상태표 [개요],자산 [개요],비유동자산,퇴직연금운용자산투자,2078219355.0,2706108411.0,205293543.0,,,,,,,,,
ifrs-full_Assets,자산총계,Total assets,재무상태표 [개요],자산 [개요],자산총계,,260367520968.0,239751806880.0,300418039001.0,273711470325.0,132189807661.0,123408357127.0,135459202841.0,149164109014.0,153246500968.0,157873952989.0,203536414129.0,30330330624.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [개요],부채 [개요],유동부채,,37418492188.0,25692554143.0,20192475037.0,45932275574.0,9377035221.0,7640555410.0,2949484216.0,2273194693.0,1690347582.0,1504795696.0,8142413572.0,10233143618.0
ifrs-full_TradeAndOtherCurrentPayables,기타채무,Trade and other current payables,재무상태표 [개요],부채 [개요],유동부채,기타채무,12305929656.0,8884776387.0,7465145066.0,24769879906.0,4604230873.0,2401500513.0,1770724444.0,1629681837.0,1364220177.0,71638545.0,131454400.0,164736000.0
ifrs-full_OtherCurrentLiabilities,기타 유동부채,Other current liabilities,재무상태표 [개요],부채 [개요],유동부채,기타 유동부채,6945555361.0,4124162943.0,6815328442.0,12073725836.0,1688734928.0,1721272025.0,866243959.0,642288504.0,326127405.0,682190562.0,2000627271.0,2500942877.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [개요],부채 [개요],유동부채,당기법인세부채,715408943.0,105730800.0,90265165.0,4177353688.0,94261077.0,1102251668.0,12515813.0,1224352.0,,,2686362615.0,667499450.0
ifrs-full_OtherCurrentFinancialLiabilities,기타유동금융부채,Other current financial liabilities,재무상태표 [개요],부채 [개요],유동부채,기타유동금융부채,11778449465.0,6840888839.0,,,1000002497.0,1000002500.0,,,,750966589.0,3323969286.0,3907331932.0
ifrs-full_CurrentLeaseLiabilities,유동성리스부채,Current lease liabilities,재무상태표 [개요],부채 [개요],유동부채,유동성리스부채,5673148763.0,5736995174.0,5821736364.0,4911316144.0,1101617928.0,1158740786.0,,,,,,
