"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInDecreaseIncreaseInShorttermDepositsAndInvestments,단기투자자산의 증가,Cash flows from (used in) decrease (increase) in short-term deposits and investments,현금흐름표 [개요],투자활동현금흐름,단기투자자산의 증가,-6999997860.0,-1728240000.0,-0.0,-0.0,999500250.0,0.0,,,,,
dart_PurchaseOfLongTermLoansAndReceivables,장기기타수취채권의 증가,Purchase of long-term loans and receivables,현금흐름표 [개요],투자활동현금흐름,장기기타수취채권의 증가,-210252530.0,-514000000.0,-98440531.0,-7604008.0,123014002.0,151503249.0,337846781.0,761640206.0,491939942.0,99332900.0,460000000.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 증가,Purchase of long-term financial instruments,현금흐름표 [개요],투자활동현금흐름,장기금융상품의 증가,-0.0,-0.0,-25714800.0,-34286400.0,34286400.0,34286400.0,14286000.0,,,,
dart_PurchaseOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,장기투자자산의 증가,Purchase of financial assets at fair value through other comprehensive income,현금흐름표 [개요],투자활동현금흐름,장기투자자산의 증가,-0.0,-3376900000.0,-0.0,-3000000000.0,3000000000.0,,11738393930.0,3280138194.0,7223482986.0,1500000000.0,3777551597.0
ifrs-full_OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,공동기업투자의 취득,"Other cash payments to acquire interests in joint ventures, classified as investing activities",현금흐름표 [개요],투자활동현금흐름,공동기업투자의 취득,-344250000.0,-0.0,-0.0,,,,,,,,
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [개요],투자활동현금흐름,유형자산의 취득,-716313959.0,-359635065.0,-352313989.0,-371195825.0,-137634130.0,-133465364.0,-677055730.0,-8245082315.0,-3502804828.0,-665290769.0,-1889947073.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [개요],투자활동현금흐름,무형자산의 취득,-20580000.0,-9265000.0,-8330000.0,-4800000.0,-2700000.0,-18726800.0,-676368456.0,-1286245022.0,-1589408511.0,-145470212.0,-806266307.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [개요],재무활동현금흐름,,-687852864.0,15945809902.0,-7826715396.0,-1377638827.0,-2801008055.0,6773556154.0,5688135149.0,10832861769.0,-5615697229.0,24786420000.0,-1100000000.0
ifrs-full_ProceedsFromIssuingShares,유상증자,Proceeds from issuing shares,현금흐름표 [개요],재무활동현금흐름,유상증자,0.0,20754302570.0,0.0,0.0,22283500.0,9999997308.0,,445046400.0,,0.0,
dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short term borrowings,현금흐름표 [개요],재무활동현금흐름,단기차입금의 차입,6589843383.0,1205194664.0,792454639.0,0.0,3000000000.0,8582407269.0,10720158784.0,8678373340.0,1093482986.0,7530000000.0,3877551597.0
ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsFinancingActivities,정부보조금의 수령,"Proceeds from government grants, classified as financing activities",현금흐름표 [개요],재무활동현금흐름,정부보조금의 수령,37051648.0,50473551.0,0.0,0.0,,,,,,,
dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,Proceeds from long term borrowings,현금흐름표 [개요],재무활동현금흐름,장기차입금의 차입,0.0,0.0,245000000.0,0.0,0.0,1000000000.0,1000000000.0,5700000000.0,700000000.0,12000000000.0,
dart_ProceedsFromExerciseOfShareOptions,주식선택권의 행사,Proceeds from exercise of share options,현금흐름표 [개요],재무활동현금흐름,주식선택권의 행사,199920000.0,0.0,0.0,,,,,,,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [개요],재무활동현금흐름,단기차입금의 상환,-5832120451.0,-1157204462.0,-0.0,-3000000000.0,3000000000.0,9962407269.0,11738393930.0,3280138194.0,7223482986.0,1500000000.0,3777551597.0
entity01047451_udf_CF_20221028155131974_CashFlowsFromUsedInFinancingActivities,유동성장기차입금의 상환,Repayments of Current portion of long-term borrowings,현금흐름표 [개요],재무활동현금흐름,유동성장기차입금의 상환,-1445000000.0,-3900000000.0,-2445000000.0,-4140000000.0,2635454550.0,1633636360.0,1290909090.0,,,,-400000000.0
dart_RepaymentsOfConvertibleBonds,전환사채의 감소,Repayments of convertible bonds,현금흐름표 [개요],재무활동현금흐름,전환사채의 감소,-0.0,-0.0,-6060857040.0,-1107240.0,0.0,0.0,,,,,
entity01047451_udf_CF_202032163435149_CashFlowsFromUsedInFinancingActivities,유동리스부채의 지급,Repayments of Current portion of capital lease liabilities,현금흐름표 [개요],재무활동현금흐름,유동리스부채의 지급,-237547444.0,-256956421.0,-253312995.0,-236531587.0,-237837005.0,-185400367.0,,,,,
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [개요],재무활동현금흐름,장기차입금의 상환,,-750000000.0,-105000000.0,-0.0,0.0,1000000000.0,0.0,700000000.0,12665000.0,0.0,400000000.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [개요],현금및현금성자산에 대한 환율변동효과,,729139064.0,-27670670.0,76742322.0,64664556.0,-47094863.0,-13763982.0,-12011995.0,-110290362.0,-66929222.0,17786346.0,3301005.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents after effect of exchange rate changes,현금흐름표 [개요],현금및현금성자산의순증가(감소),,3946787762.0,5419131779.0,-5472952974.0,231209527.0,,,,,,,
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [개요],기초현금및현금성자산,,9818361847.0,4399230068.0,9872183042.0,9640973515.0,12943161008.0,1429177965.0,3286156872.0,4714867098.0,9218291442.0,1637506661.0,409701966.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [개요],기말현금및현금성자산,,13765149609.0,9818361847.0,4399230068.0,9872183042.0,9640973515.0,12943161008.0,1429177965.0,3286156872.0,4714867098.0,9218291442.0,1637506661.0
