"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,152614498001.0,267167515858.0,92259257411.0,104438304265.0,50131485364.0,19262572161.0,49272961449.0,9500246912.0,31445454320.0,21798920484.0,29822275252.0,11151940028.0,24430769996.0,16514400253.0,35499597666.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),,152614498001.0,267167515858.0,92259257411.0,104438304265.0,50131485364.0,19262572161.0,49272961449.0,9500246912.0,31445454320.0,21798920484.0,29921398519.0,11160636532.0,24847898237.0,16902691370.0,35709983879.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-2114156815.0,-751300859.0,697188798.0,-577872224.0,1171695600.0,-1622558225.0,-1962088774.0,1067221329.0,-1125161447.0,494979613.0,-487075797.0,304199825.0,-691648865.0,-609640035.0,-7365056701.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,-2354788285.0,-55075378.0,62275773.0,-868599926.0,1232807019.0,-1752179495.0,-1811878109.0,984854978.0,-83992862.0,-286173260.0,-713024279.0,304199825.0,-691648865.0,-609640035.0,-7365056701.0
ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의 재측정손익(세전기타포괄손익),"Other comprehensive income, before tax, gains (losses) on remeasurements of defined benefit plans",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),확정급여제도의 재측정손익(세전기타포괄손익),-3062143414.0,-71619478.0,81088246.0,-1145910193.0,1580521819.0,-2246383968.0,-2322920653.0,1262634587.0,-107683157.0,-366888795.0,-935411655.0,433690075.0,-821064017.0,-7339825.0,-1351921953.0
ifrs-full_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLoss,당기손익으로 재분류되지 않는 항목과 관련된 법인세,Income tax relating to components of other comprehensive income that will not be reclassified to profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),당기손익으로 재분류되지 않는 항목과 관련된 법인세,-707355129.0,-16544100.0,18812473.0,-277310267.0,-347714800.0,494204473.0,511042544.0,-277779609.0,23690295.0,80715535.0,222387376.0,-129490250.0,203741408.0,193309389.0,1917724113.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,240631470.0,-696225481.0,634913025.0,290727702.0,-61111419.0,129621270.0,-150210665.0,82366351.0,-1041168585.0,781152873.0,225948482.0,0.0,,,
ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),,-768949133.0,893153470.0,-30685622.0,17330417.0,,-133685984.0,93661269.0,-30687505.0,3089614.0,8903342.0,0.0,-74326256.0,3189528.0,-6379056.0
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환차이(세후기타포괄손익),"Gains (losses) on exchange differences on translation of foreign operations, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),해외사업장환산외환차이(세후기타포괄손익),240631470.0,72723652.0,-258240445.0,321413324.0,-78441836.0,129621270.0,-16524681.0,-11294918.0,23218115.0,-38590796.0,0.0,0.0,,,
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,150500341186.0,266416214999.0,92956446209.0,103860432041.0,51303180964.0,17640013936.0,47310872675.0,10567468241.0,30320292873.0,22293900097.0,29335199455.0,11456139853.0,23739121131.0,15904760218.0,28134540965.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"포괄손익, 지배기업의 소유주에게 귀속되는 지분",,150500341186.0,266416214999.0,92956446209.0,103860432041.0,51303180964.0,17640013936.0,47310872675.0,10567468241.0,30320292873.0,22293900097.0,29421844529.0,11490457981.0,24138876297.0,16306384222.0,28377533208.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"포괄손익, 비지배지분",,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86645074.0,-34318128.0,-399755166.0,-401624004.0,-242992243.0
ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],기본주당이익(손실),,1589.0,2753.0,939.0,1057.0,502.0,383.0,966.0,185.0,581.0,930.0,1291.0,474.0,1036.0,668.0,1444.0
ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),Diluted earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],희석주당이익(손실),,1584.0,2753.0,939.0,1057.0,502.0,383.0,914.0,185.0,570.0,930.0,1233.0,473.0,1036.0,668.0,1440.0
