"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231,20090101-20091231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,136136191571.0,232021520937.0,74731602667.0,79569314572.0,-7076948964.0,6138380884.0,-4238591486.0,-65499530967.0,-72634008707.0,25373869013.0,-24274530578.0,-27949002904.0,-30098594399.0,-16808730683.0,-45791914351.0,-46517236765.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),Profit (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업이익(손실),,,2511266560208.0,898734721875.0,120663708119.0,209795110703.0,164739761653.0,162427318272.0,49251058766.0,-47748078675.0,345869269060.0,6244417206.0,-63259953438.0,114317889574.0,125162177882.0,231892381017.0,242967269884.0,206954883465.0
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),Profit (loss) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단영업이익(손실),,,28606900330.0,78183623918.0,25890311081.0,91966905578.0,0.0,,,,,,-54921916084.0,18720764267.0,6161399524.0,-517783486.0,-8768840545.0,-33014898811.0
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,2539873460538.0,976918345793.0,146554019200.0,301762016281.0,164739761653.0,162427318272.0,49251058766.0,-47748078675.0,345869269060.0,6244417206.0,-118181869522.0,133038653841.0,131323577406.0,231374597531.0,234198429339.0,173939984654.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,58011065699.0,-157661023420.0,-43152059733.0,54923438196.0,11281607583.0,-14300268931.0,-1961511517.0,-84816056100.0,-233692339229.0,596425466838.0,83370085980.0,21573174382.0,-118850554340.0,158293927491.0,-20167190729.0,6712990662.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,,,8651410550.0,,-16189955997.0,-4950292439.0,14371431564.0,5007575615.0,313160372198.0,4550896781.0,-1358715867.0,-15464731145.0,-11473984234.0,,
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익-공정가치측정지분상품평가손익,"Other comprehensive income, net of tax, gains (losses) from investments in equity instruments",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),기타포괄손익-공정가치측정지분상품평가손익,-63090319592.0,-143955286720.0,-110782977858.0,2846567235.0,-149968075.0,-1580205653.0,-31159865766.0,,,,,,,,,
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의 재측정손익(세후기타포괄손익),"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),확정급여제도의 재측정손익(세후기타포괄손익),-65058577572.0,-93780249836.0,39831362232.0,5804843315.0,10925222936.0,-14786286503.0,-15832806644.0,14371431564.0,11207678812.0,3946443616.0,6496329962.0,,,,,
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,"세후기타포괄손익, 자산재평가차익(차손)","Other comprehensive income, net of tax, gains (losses) on revaluation of property, plant and equipment, right-of-use assets and intangible assets",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"세후기타포괄손익, 자산재평가차익(차손)",,95449342543.0,,0.0,30276214859.0,176536159.0,42042379971.0,,,310481397934.0,,,,,,
ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동 - 후속적으로 재분류 되지 않는 항목,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),지분법자본변동 - 후속적으로 재분류 되지 않는 항목,13996417869.0,-48920377876.0,3451591949.0,0.0,30276214859.0,176536159.0,42042379971.0,,,,,,,,,
