"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,임차보증금의 감소,964836798.0,1036901974.0,274890035.0,426475600.0,141640000.0,-77700000.0,,,,,
ifrs-full_InterestReceivedClassifiedAsInvestingActivities,이자수취,Interest received,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유입,이자수취,43186314880.0,25254759167.0,24098678484.0,1729482858.0,646001835.0,945518063.0,473760139.0,337345989.0,121753578.0,58643322.0,288958534.0
ifrs-full_OutflowsOfCashFromInvestingActivities,투자활동으로부터의 현금유출,Outflows of cash from investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,,-2791939874999.0,-1884125282355.0,-802223867206.0,,,,,,,,
dart_PurchaseOfInvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 취득","Purchase of investments in subsidiaries, joint ventures and associates",ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,"종속기업, 조인트벤처와 관계기업에 대한 투자자산의 취득",-60204428124.0,-41002500000.0,-45441814439.0,,,,,,,,
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,유형자산의 취득,-1581710525538.0,-1077496762028.0,-675606658646.0,-440397418283.0,-205009861457.0,-214327355536.0,-113181549789.0,-84179000397.0,-60908949263.0,-27221639693.0,-10390891570.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,무형자산의 취득,-7357387959.0,-671067083.0,-2277202919.0,-1701607783.0,-2070598540.0,-1663584582.0,-709347585.0,-2117815961.0,-2087303998.0,-2497475578.0,-6368834170.0
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,Purchase of short term Financial Instruments,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,단기금융상품의 취득,-206881774500.0,-458057820639.0,-54503600000.0,-38050000000.0,,,,,,,
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Purchase of long-term financial instruments,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,장기금융상품의 취득,-490000000.0,,,-107995428.0,,,,,,,
dart_PurchaseOfFairValueFinancialAsset,당기손익인식금융자산의 취득,Purchase of fair value financial asset,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,당기손익인식금융자산의 취득,-720098862940.0,-188847849090.0,-19424238239.0,-2276000000.0,,,,,,,
dart_PurchaseOfOtherFinancialAssets,기타금융자산의 취득,Purchase of other financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동 현금흐름,투자활동으로부터의 현금유출,기타금융자산의 취득,,-2802024000.0,-3635950470.0,-26200000000.0,27535121486.0,-114308749789.0,-6921403550.0,-18298282890.0,19225923743.0,4220307884.0,2980602876.0
