"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231,20181231,20171231,20161231,20151231,20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_OtherNoncurrentFinancialAssets,기타비유동금융자산,Other non-current financial assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,기타비유동금융자산,271180259856.0,93957282652.0,1871446577.0,2050589865.0,1664837482.0,1237498900.0,27095640353.0,2103109400.0,6314019558.0,5736584860.0,977296860.0
ifrs-full_NoncurrentDerivativeFinancialAssets,비유동파생상품자산,Non-current derivative financial assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,비유동파생상품자산,1848451972.0,,,1776682469.0,,4704786552.0,,,,,
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,유형자산,4186234820881.0,2706763677615.0,1629476942518.0,1086269199766.0,685289614916.0,507213901610.0,341600509216.0,232556791980.0,163634376060.0,118626198804.0,103495438928.0
ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,사용권자산,8221787570.0,7380096760.0,4123393857.0,2312854470.0,2024179763.0,2612187208.0,,,,,
ifrs-full_IntangibleAssetsAndGoodwill,무형자산,Intangible assets other than goodwill,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,무형자산,409491540721.0,414640998882.0,420544601690.0,622296537873.0,17048408775.0,16618929250.0,16545878300.0,19626137885.0,20265814043.0,20869129009.0,20843676102.0
ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업및공동기업투자,"Investments in subsidiaries, joint ventures and associates reported in separate financial statements",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,관계기업및공동기업투자,202403565343.0,113443385109.0,43034054029.0,1678865636.0,,,,,,1033320886.0,121097016.0
ifrs-full_OtherNoncurrentAssets,기타비유동자산,Other non-current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,기타비유동자산,1594773383.0,147497452.0,2939266038.0,,1001043577.0,492227800.0,,,,,
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,이연법인세자산,301011021828.0,212452303577.0,51544836172.0,40674215132.0,46234357214.0,13568351253.0,3840620091.0,2546658142.0,1694733516.0,2591493170.0,2628921471.0
ifrs-full_Assets,자산총계,Total assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],자산총계,,8138264562531.0,7556978775072.0,5345782603044.0,3400444973404.0,1283164844739.0,927834885423.0,667514759192.0,448145544274.0,346356773602.0,220544003505.0,185490076455.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,,2184548910738.0,2743576237480.0,2082665018806.0,967353222621.0,385917601346.0,260635090380.0,258962167994.0,179491757133.0,108728141324.0,84816700172.0,97685276425.0
