"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의 재측정손익(세후기타포괄손익),"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",포괄손익계산서 [개요],당기 세후 기타포괄손익,당기손익으로 재분류 되지않는 세후기타포괄손익,확정급여제도의 재측정손익(세후기타포괄손익),-8193424748.0,-10069391407.0,1756177235.0,-5733188776.0,-1561087349.0,5363481927.0,-5994870083.0,-571862203.0,-540905577.0,-475719069.0,-233950297.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],당기 세후 기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,111916329833.0,16177335996.0,-6278712010.0,13792346.0,6586603.0,-14376585.0,,,,,
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업환산손익,"Gains (losses) on exchange differences on translation of foreign operations, net of tax",포괄손익계산서 [개요],당기 세후 기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),해외사업환산손익,99348484631.0,13789039695.0,-2346199204.0,13792346.0,6586603.0,-14376585.0,,,,,
ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법기타포괄손익변동,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to profit or loss, net of tax",포괄손익계산서 [개요],당기 세후 기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),지분법기타포괄손익변동,12567845202.0,2388296301.0,-3932512806.0,,,,,,,,
ifrs-full_ComprehensiveIncome,당기총포괄손익,Comprehensive income,포괄손익계산서 [개요],당기총포괄손익,,,-192453413445.0,140366816796.0,204714117772.0,278064103613.0,59358485527.0,42712689719.0,40211789250.0,-3858547809.0,-7777622355.0,-286197998.0,1262402708.0
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 소유주지분,"Profit (loss), attributable to owners of parent",포괄손익계산서 [개요],당기순손익의 귀속,지배기업 소유주지분,,-205950752375.0,51016615538.0,36063936456.0,240339207669.0,24613388092.0,21284295125.0,39346693663.0,-6847205791.0,-8811949165.0,189521071.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [개요],당기순손익의 귀속,비지배지분에 귀속되는 당기순이익(손실),,-89416280759.0,84252048252.0,184527713855.0,38222034814.0,30494409844.0,16079289252.0,6859965670.0,3560520185.0,1575232387.0,,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 소유주지분,"Comprehensive income, attributable to owners of parent",포괄손익계산서 [개요],포괄손익의 귀속,지배기업 소유주지분,,-152251356935.0,50780336124.0,23180903692.0,241811229871.0,29468552407.0,25219740990.0,34270386012.0,-7295533226.0,-9307235554.0,-286197998.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분,"Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [개요],포괄손익의 귀속,비지배지분,,-40202056510.0,89586480672.0,181533214080.0,36252873742.0,29889933120.0,17492948729.0,5941403238.0,3436985417.0,1529613199.0,,
ifrs-full_BasicEarningsLossPerShare,기본주당손익,Basic earnings (loss) per share,포괄손익계산서 [개요],주당이익 [개요],기본주당손익,,-1567.0,388.0,1473.0,,385.0,964.0,1781.0,-313.0,-487.0,13.0,107.0
ifrs-full_DilutedEarningsLossPerShare,희석주당손익,Diluted earnings (loss) per share,포괄손익계산서 [개요],주당이익 [개요],희석주당손익,,-1567.0,386.0,1473.0,,385.0,964.0,1781.0,,-487.0,13.0,107.0
