"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231,20201231,20191231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_OtherNoncurrentAssets,기타비유동자산,Other non-current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,기타비유동자산,212122348000.0,334786897000.0,340435807000.0,27120187000.0,30756950000.0,834372000.0
ifrs-full_Assets,자산총계,Total assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],자산총계,,19390946750000.0,17133618109000.0,16289398053000.0,15078671491000.0,13799657849000.0,13869458775000.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,,11796215796000.0,9945027489000.0,9072004186000.0,7048607453000.0,5976923117000.0,5914258410000.0
ifrs-full_OtherCurrentFinancialLiabilities,단기금융부채,Current financial liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,단기금융부채,399253312000.0,1560030665000.0,1444632171000.0,1506767831000.0,2507268514000.0,2020448874000.0
ifrs-full_CurrentLeaseLiabilities,유동리스부채,Current lease liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,유동리스부채,13192173000.0,12077202000.0,13173646000.0,6052095000.0,7731161000.0,5408929000.0
ifrs-full_TradeAndOtherCurrentPayables,매입채무및기타채무,Trade and other current payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,매입채무및기타채무,2310897488000.0,2024927957000.0,1573600240000.0,1745928953000.0,1645647882000.0,1679589205000.0
ifrs-full_CurrentContractLiabilities,계약부채,Current contract liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,계약부채,7710290581000.0,5811350022000.0,4764892821000.0,2607770742000.0,1409196944000.0,1701665252000.0
ifrs-full_CurrentProvisions,유동충당부채,Current provisions,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,유동충당부채,247337774000.0,180445797000.0,900927588000.0,1027990055000.0,283667657000.0,383967288000.0
ifrs-full_CurrentDerivativeFinancialLiabilities,파생상품부채,Current derivative financial liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,파생상품부채,1093499554000.0,306545962000.0,316553631000.0,148741660000.0,12774924000.0,102356753000.0
dart_CurrentFirmCommitmentLiabilities,확정계약부채,Current firm commitment liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,확정계약부채,7949357000.0,49649884000.0,58224089000.0,5356117000.0,110636035000.0,19955865000.0
