"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유입액,무형자산의 처분,41800018.0,15352648.0,30799233.0,0.0,1104809964.0,635045452.0,1085454542.0,145454546.0,51694000.0,25432000.0,11325000.0,632134.0,452029130.0,404801323.0,72273628.0
ifrs-full_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,"종속기업,관계기업 및 공동기업투자주식의 처분","Cash flows from losing control of subsidiaries or other businesses, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유입액,"종속기업,관계기업 및 공동기업투자주식의 처분",0.0,0.0,1233391181.0,0.0,,,,,,,,,,,
ifrs-full_OutflowsOfCashFromInvestingActivities,투자활동으로부터의 현금유출액,Outflows of cash from investing activities,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유출액,,-302505258082.0,-188917383881.0,-236243854788.0,,,,,,,,,,,,
ifrs-full_PurchaseOfFinancialInstrumentsClassifiedAsInvestingActivities,금융기관예치금의 증가,"Purchase of financial instruments, classified as investing activities",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유출액,금융기관예치금의 증가,-73369546396.0,-89873565063.0,-7880331440.0,-10909368366.0,11452662738.0,27483717034.0,14995066129.0,15956036496.0,16047908929.0,10399716499.0,14248796059.0,125235550.0,18064139152.0,12215482685.0,21597545113.0
dart_PurchaseOfLoansAndReceivables,기타수취채권의 증가,Purchase of loans and receivables,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유출액,기타수취채권의 증가,-4774012985.0,-4652137883.0,-80837283170.0,-1272260021.0,15525517535.0,15204161900.0,4376978487.0,11814052989.0,13419949557.0,5197313787.0,9248073472.0,576193273.0,1119107630.0,1470670737.0,1491978559.0
dart_PurchaseOfOtherFinancialAssets,기타금융자산의 취득,Purchase of other financial assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유출액,기타금융자산의 취득,-152308231576.0,-42289940152.0,-57337852893.0,-55683763274.0,90887909016.0,29470584467.0,17249688800.0,8407948659.0,19180376545.0,12589768124.0,113298346.0,255077560.0,3102872471.0,19442873985.0,3691911975.0
dart_PurchaseOfInvestmentsInAssociates,관계기업투자의 취득,Purchase of investments in associates,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유출액,관계기업투자의 취득,-6000026200.0,-0.0,-4777937977.0,-5933842519.0,2201496000.0,13570024000.0,1766136800.0,,,2022181464.0,547633845.0,2401000000.0,,,3464014400.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유출액,유형자산의 취득,-65668775269.0,-52023648669.0,-56006094642.0,-40641866262.0,-40099860364.0,-48390770734.0,-80519665840.0,-97395796608.0,-157587021797.0,-177778753678.0,128613388566.0,98504148827.0,169468833963.0,128732726090.0,112428104551.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유출액,무형자산의 취득,-76515154.0,-1610090.0,-12895110.0,-7339343.0,-40277296.0,-5744986.0,-351576530.0,-1502742900.0,-7836655301.0,-4738008496.0,758428392.0,457543326.0,23176331.0,23610698.0,1733167609.0
ifrs-full_PurchaseOfInvestmentProperty,투자부동산의 취득,Purchase of investment property,ifrs-full:StatementOfCashFlowsAbstract,투자활동현금흐름,투자활동으로부터의 현금유출액,투자부동산의 취득,-308150502.0,-76482024.0,-29391459556.0,-4171415182.0,8005545546.0,8080036927.0,2655961096.0,325200000.0,20000000.0,,,,,,41000000.0
