"[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231,20200101-20201231,20190101-20191231,20180101-20181231,20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주지분,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주지분,,33680122343.0,71450406250.0,81030124669.0,129802452238.0,8420311707.0,-569881418.0,3383602239.0,23689915805.0,39981096826.0,19366994371.0,290697182800.0,30226445345.0,42458277310.0,94114338969.0,95373626495.0
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),,-765493425.0,-6923636202.0,11292644880.0,3509799637.0,-5694397388.0,-3644784621.0,-1507575628.0,-1239038914.0,308630065.0,-1020630441.0,-168700167.0,6515142470.0,1391436878.0,13179025237.0,13620205022.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,98279998116.0,12035476993.0,3148217537.0,56797383930.0,-4681506503.0,11432356291.0,3853985165.0,-39799817266.0,-9022913506.0,-39939992076.0,-72405954442.0,-21736459680.0,-51793590249.0,-3381867088.0,21528198982.0
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류되는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,,,,,44588533354.0,,,,-42139136139.0,-8126870289.0,-34313945802.0,-72810947102.0,-20349408173.0,-51370400768.0,,
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장 외화환산차이,"Gains (losses) on exchange differences on translation of foreign operations, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,해외사업장 외화환산차이,97443811032.0,16684382360.0,-633572359.0,41175167404.0,-14123487806.0,21399592542.0,8579694423.0,-33015907622.0,-9371984272.0,,8481881358.0,-33071043011.0,-20623979714.0,-508911562.0,22648815516.0
ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,공동기업 및 관계기업투자의 기타포괄손익 지분,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,공동기업 및 관계기업투자의 기타포괄손익 지분,4284105510.0,-2334684853.0,-1024387637.0,3413365950.0,3022388591.0,-340073013.0,-2703858241.0,302938012.0,-3787612768.0,,-63267658214.0,9126250492.0,-19134572965.0,2259029469.0,957503962.0
dart_PurchaseDispostionOfAssociatesOrJointVenture,공동기업 및 관계기업투자의 처분에 따른 손익 대체,Purchase dispostion of associates or joint venture,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,공동기업 및 관계기업투자의 처분에 따른 손익 대체,0.0,-229021160.0,0.0,0.0,,,,,,,,,,,
ifrs-full_GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax,기타포괄손익-공정가치 측정 금융자산 평가손익,"Gains (losses) on financial assets measured at fair value through other comprehensive income, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,기타포괄손익-공정가치 측정 금융자산 평가손익,761236398.0,-7405141.0,0.0,0.0,4659985604.0,-3019674742.0,-128504962.0,,,,,,,,
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류 되지 않는 항목,"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류 되지 않는 항목,,,,,12208850576.0,,,,2339318873.0,-896043217.0,-5626046274.0,404992660.0,-1387051507.0,-423189481.0,,
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류 되지 않는 항목,순확정급여부채의 재측정요소,-507577815.0,-583147452.0,5526131212.0,1507707804.0,1089555795.0,-4966152802.0,-2733952543.0,2506289801.0,-1432474171.0,,175801171.0,-2243120513.0,-1185359060.0,-3670774119.0,-1151085875.0
ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,공동기업 및 관계기업투자의 재측정요소 지분 해당액,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류 되지 않는 항목,공동기업 및 관계기업투자의 재측정요소 지분 해당액,99698409.0,-592188684.0,-39536116.0,655713050.0,-161164162.0,-567904776.0,-250028702.0,520115745.0,275096529.0,,349491104.0,441221522.0,590453859.0,-2157297579.0,-786795742.0
ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익 - 공정가치측정 금융자산 평가손익,"Other comprehensive income, net of tax, gains (losses) from investments in equity instruments",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류 되지 않는 항목,기타포괄손익 - 공정가치측정 금융자산 평가손익,-3801275418.0,-902458077.0,-680417563.0,10045429722.0,,,,,,,,,,,
ifrs-full_ComprehensiveIncome,총포괄손익,Total comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익,,,131194627034.0,76562247041.0,95470987086.0,190109635805.0,-1955592184.0,7217690252.0,5730011776.0,-17348940375.0,31266813385.0,-21593628146.0,218122528191.0,15005128135.0,-7943876061.0,103911497118.0,130522030499.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 총포괄손익,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속,지배기업의 소유주에게 귀속되는 총포괄손익,,113345750933.0,84071446514.0,82820265984.0,179616615784.0,8094936932.0,6613752820.0,5307406493.0,-12956141319.0,32204970491.0,-8072938312.0,219238918107.0,18334652418.0,-4369696648.0,91904268785.0,111357427706.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속,"포괄손익, 비지배지분",,17848876101.0,-7509199473.0,12650721102.0,10493020021.0,-10050529116.0,603937432.0,422605283.0,-4392799056.0,-938157106.0,-13520689834.0,-1116389916.0,-3329524283.0,-3574179413.0,12007228333.0,19164602793.0
ifrs-full_BasicEarningsLossPerShare,기본 및 희석주당이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업지분에 대한 주당이익 [개요],기본 및 희석주당이익,,1248.0,2648.0,3002.0,5194.0,366.0,-25.0,169.0,1185.0,1999.0,1076.0,16153.0,1680.0,2831.0,6275.0,7338.0
